time	mac	pin	client	name	user
2017-02-03 17:25:12.703314	AFANDBARCODE	10010	local	1111	9990000000111
2017-01-13 21:28:26.188843	00:06:91:9A:15:41	10010	6002		9990000000111
2017-02-03 17:25:11.703314	00:06:41:8B:15:11	10010	6002	2769	9990000000111
2017-02-03 17:24:27.560723	00:06:00:04:16:51	10010	6003	7203	9990000000111	CT1016405100
2017-02-03 17:25:11.703314	00:06:52:25:06:51	10010	6002	6251	9990000000111	CT1016525025
2017-02-03 17:25:11.703314	00:06:32:35:66:61	10010	6003	3435	9990000000111	CT1016526633
2017-02-03 17:25:11.703314	00:06:20:54:06:61	10010	6002	4597	9990000000111	CT1016406052
2017-02-03 17:25:11.703314	00:06:80:04:66:61	10010	6004	1893	9990000000111	CT1016406608



